Subject,Topic,Subtopic,Question,Explanation,Option A,Option B,Option C,Option D,Correct Option
Abdomen,General,Abdomen,At which vertebral level is the abdominal plane marked as 2?,"The abdominal plane labelled as 2 is the Subcostal plane, located at the upper border of L3, connecting the 10th costal cartilages.",Lower border of L1,Upper border of L1,Upper border of L3,Lower border of L4,C
Abdomen,General,Abdomen,Identify Pulmonary trunk,(Explanation not provided in the input),A,B,C,D,B
Abdomen,General,Abdomen,From which of the following structures does the marked structure originate?,"The azygous vein develops from the supracardinal vein during embryonic development, draining deoxygenated blood from the thorax.",Common cardinal vein,Anterior cardinal vein,Supracardinal vein,Subcardinal vein,C
Cardiology,Cardiovascular System,Cardiovascular System,Identify the true statement regarding the point marked (Red) on the myocardial action potential?,"The point marked on the myocardial action potential curve represents phase 2, the plateau phase.
 • This phase is characterized by the slow but prolonged opening of calcium channels (L-type calcium
 channels) which allows the influx of calcium ions into the cell.
 • An outward potassium current balances this inward current through the slow delayed rectifier
 potassium channels.
 • The net effect is a plateau phase in the action potential, making the cardiac muscle action potential
 unique compared to other types of action potentials.",Opening of Na+ & closure of fast K+ channels,Slow but prolonged opening of Ca2+,Closure of Na+ & opening of slow K+ channels,Na+/K+ ATPase,B
Concept Of Health And Diseases,General,Concept Of Health And Diseases,What does the point labeled C denote?,"The stage between subclinical disease and the stage of disease is characterized by the onset of symptoms. Subclinical disease refers to a stage where an individual is infected with the pathogen but does not exhibit any noticeable symptoms. As the disease progresses, symptoms start to appear, indicating the transition from subclinical to the clinical disease stage. The onset of symptoms is an important milestone in the progression of the disease, as it signifies the manifestation of clinical signs that can be observed or experienced by the individual.",Onset of symptoms,Onset of pathological changes,Usual time of diagnosis,Exposure to etiologic agent,A
Embryology,General,Embryology,Which of the following structures develops from the structure marked?,"The marked structure is the allantois, which develops into the median umbilical ligament. This ligament runs along the midline of the abdominal wall.",Medial umbilical ligament,Median umbilical ligament,Meckel's diverticulum,Ligamentum teres,B
Embryology,General,Embryology,Which cells are derived from the marked cells?,"The marked cells are neural crest cells (NCC), which are multipotent and contribute to various cell types, including odontoblasts and melanocytes.","1,3,5,6","2,3,4,6","1,2,3,6","1,2,3,4",C
Endocrinology,Endocrine Disorders,Endocrine Surgery,A patient with a nodule of the neck presents to the surgery OPD. A Junior resident performs the following method to palpate it. Identify the procedure shown in the video below.,"Correct Option A - Lahey's method: → Lahey's method, also known as the Lahey maneuver, is a technique used to palpate a neck nodule. It involves the examiner placing their thumb and index finger on either side of the neck nodule and gently applying pressure while rolling the nodule between their fingers. This maneuver helps to assess the size, shape, consistency, and mobility of the nodule.",Lahey's method,Crile's method,Kocher's method,Pemberton's method,A
Enzymes,General,Enzymes,The Gibbs free energy curve for a reaction catalyzed by an enzyme is demonstrated by,"• This option is correct. (A) In enzyme-catalyzed reactions, the Gibbs free energy curve typically shows
 a lower activation energy compared to the uncatalyzed reaction (represented by a higher activation
 energy barrier). This is one of the key effects of enzymes, as they lower the activation energy, allowing
 the reaction to proceed more rapidly.",A,B,C,D,
Gastroenterology,Gastrointestinal,Gastro Radio,Please identify the section of the intestine shown in the barium study provided.,"The jejunum is the middle section of the small intestine, located between the duodenum and ileum. It is often recognized in imaging due to its folded appearance, differentiating it from other parts of the GI tract.",Ileum,Transverse colon,Jejunum,Splenic flexure,C
Gastroenterology,Gastrointestinal,Gastrointestinal Surgery,Identify the incision marked as B.,"Correct Option A - Acute Anal fissures: → In Acute Anal fissures the diagnosis and treatment of acute anal fissures typically do not require specific instruments. However, a digital rectal examination (DRE) may be performed using a gloved finger to assess the anal area and confirm the presence of a fissure. This examination helps to identify the location and extent of the fissure. In Acute Anal fissures the diagnosis and treatment of acute anal fissures typically do not require specifi c instruments. However, a digital rectal examination (DRE) may be performed using a gloved finger to assess the anal area and confirm the presence of a fissure. This examination helps to identify the location and extent of the fissure.",Gridiron incision,Lanz incision,Rutherford – Morison incision,Rockey-Davis incison,A
Head And Neck (1),General,Head And Neck,Which dural venous sinus receives the great cerebral vein of Galen as one of its tributaries among the following options?,"The straight sinus receives the great cerebral vein of Galen as its tributary. The great cerebral vein of Galen is formed by the union of the two internal cerebral veins, and it runs along the midline of the brainstem.",A,B,C,D,B
